"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","question_order"
"10565","<p>In this experiment, you will see 3 visualizations, each for 10 seconds.</p> <p> You need to remember the data fact <b>highlighted with annotation</b>, and try to recall it.</p>","0","html-button-response","0","10582","0.0-0.0","5","1","2024-06-25 16:08:54","327d8d61a69a55b6203573ad19e3ab64","172.56.12.182","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36","WebKit","Chrome","126.0.0.0","AndroidOS","10","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"16177","","{""Q0"":""apple""}","survey-multi-choice","1","26774","0.0-1.0","5","1","2024-06-25 16:08:54","327d8d61a69a55b6203573ad19e3ab64","172.56.12.182","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36","WebKit","Chrome","126.0.0.0","AndroidOS","10","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
