"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","question_order"
"7514","<p>In this experiment, you will see 3 visualizations, each for 10 seconds.</p> <p> You need to remember the data fact <b>highlighted with annotation</b>, and try to recall it.</p>","0","html-button-response","0","7528","0.0-0.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"7656","","{""Q0"":""durian""}","survey-multi-choice","1","15194","0.0-1.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"1949","<p>Great! You passed the attention check. Now let's begin!</p>","0","html-button-response","2","17147","0.0-2.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart460.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","3","27151","0.0-3.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Filter-Bar-Color.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","4","37157","0.0-4.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart39.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","5","47163","0.0-5.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"17207","","{""Q0"":""The number of mobile customers in UK drops below 30 million from 2018 to 2019.""}","survey-multi-choice","6","64372","0.0-6.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"null","<img src=""chart495.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","7","74377","0.0-7.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart131.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","8","84385","0.0-8.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Range-Bar-Opacity.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","9","94393","0.0-9.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"13911","","{""Q0"":""People from most Asian countries spent 50 to 70 hours on smartphones.""}","survey-multi-choice","10","108307","0.0-10.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"null","<img src=""RetrieveValue-Bar-Line.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","11","118310","0.0-11.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart509.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","12","128317","0.0-12.0","8","1","2024-06-25 16:23:29","327d8d61a69a55b6203573ad19e3ab64","69.132.57.28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15","Macintosh","Safari","17.5","OS X","10_15_7","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
