,,w/o VisChatter,w/ VisChatter
Complex Line,1st description,5,5.67
,2nd description,4.67,4.33
Simple Line,1st description,4.67,6.33
,2nd description,2,6
Complex Bar,1st description,3.67,5
,2nd description,4.67,6.67
Simple Bar,1st description,5,5.33
,2nd description,5,4.67
