"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Filter-Bar-Bound.png"",""x"":728,""y"":23},{""src"":""Sort-Filter-Bar-Color.png"",""x"":182,""y"":21},{""src"":""Sort-Filter-Bar-Line.png"",""x"":474,""y"":41},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":541,""y"":32},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":1179,""y"":15}]","[{""src"":""Sort-Filter-Bar-Color.png"",""x"":182,""y"":21},{""src"":""Sort-Filter-Bar-Color.png"",""x"":182,""y"":21},{""src"":""Sort-Filter-Bar-Color.png"",""x"":182,""y"":21},{""src"":""Sort-Filter-Bar-Color.png"",""x"":182,""y"":21},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":886,""y"":40},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":520,""y"":12},{""src"":""Sort-Filter-Bar-Color.png"",""x"":132,""y"":20},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":695,""y"":21},{""src"":""Sort-Filter-Bar-Line.png"",""x"":425,""y"":41},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":671,""y"":39},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":1092,""y"":28},{""src"":""Sort-Filter-Bar-Line.png"",""x"":419,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":438,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":711,""y"":112},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":739,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":489,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":366,""y"":80},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":430,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":449,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":466,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":476,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":476,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":475,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":472,""y"":115},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":407,""y"":53},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":721,""y"":37},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1143,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1129,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":970,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":941,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":938,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":941,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":938,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":963,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1129,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1136,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":963,""y"":115},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":674,""y"":87},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":694,""y"":115},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":885,""y"":45},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":402,""y"":20},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":622,""y"":96},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":646,""y"":115},{""src"":""Sort-Filter-Bar-Bound.png"",""x"":601,""y"":28},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1102,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1076,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1009,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1008,""y"":115},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":835,""y"":27},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1011,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1025,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1038,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1026,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1051,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1066,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1057,""y"":115},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1104,""y"":60}]","[{""src"":""Sort-Filter-Bar-Bound.png"",""x"":601,""y"":28},{""src"":""Sort-Filter-Bar-Color.png"",""x"":132,""y"":20},{""src"":""Sort-Filter-Bar-Line.png"",""x"":1104,""y"":60},{""src"":""Sort-Filter-Bar-Opacity.png"",""x"":835,""y"":27},{""src"":""Sort-Filter-Bar-Shade.png"",""x"":402,""y"":20}]","234219","free-sort","0","234242","0.0-0.0","1603","1","2024-08-12 16:18:08","53de92ef0cbff06093468afbaa2d6dc6","24.168.83.219","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Trend-Line-Color.png"",""x"":888,""y"":22},{""src"":""Sort-Trend-Line-Line.png"",""x"":269,""y"":26},{""src"":""Sort-Trend-Line-Mark.png"",""x"":1081,""y"":23},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":44,""y"":21},{""src"":""Sort-Trend-Line-Text.png"",""x"":901,""y"":4},{""src"":""Sort-Trend-Line-Bound.png"",""x"":1239,""y"":11},{""src"":""Sort-Trend-Line-Shade.png"",""x"":585,""y"":5}]","[{""src"":""Sort-Trend-Line-Line.png"",""x"":322,""y"":105},{""src"":""Sort-Trend-Line-Shade.png"",""x"":368,""y"":22},{""src"":""Sort-Trend-Line-Line.png"",""x"":694,""y"":105},{""src"":""Sort-Trend-Line-Line.png"",""x"":700,""y"":105},{""src"":""Sort-Trend-Line-Line.png"",""x"":619,""y"":6}]","[{""src"":""Sort-Trend-Line-Color.png"",""x"":888,""y"":22},{""src"":""Sort-Trend-Line-Line.png"",""x"":619,""y"":6},{""src"":""Sort-Trend-Line-Mark.png"",""x"":1081,""y"":23},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":44,""y"":21},{""src"":""Sort-Trend-Line-Text.png"",""x"":901,""y"":4},{""src"":""Sort-Trend-Line-Bound.png"",""x"":1239,""y"":11},{""src"":""Sort-Trend-Line-Shade.png"",""x"":368,""y"":22}]","20971","free-sort","1","255218","0.0-1.0","1603","1","2024-08-12 16:18:08","53de92ef0cbff06093468afbaa2d6dc6","24.168.83.219","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Range-Scatter-Bound.png"",""x"":436,""y"":20},{""src"":""Sort-Range-Scatter-Line.png"",""x"":207,""y"":14},{""src"":""Sort-Range-Scatter-Color.png"",""x"":551,""y"":20},{""src"":""Sort-Range-Scatter-Opacity.png"",""x"":47,""y"":5},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":1084,""y"":19}]","[{""src"":""Sort-Range-Scatter-Line.png"",""x"":295,""y"":73},{""src"":""Sort-Range-Scatter-Color.png"",""x"":803,""y"":30},{""src"":""Sort-Range-Scatter-Line.png"",""x"":320,""y"":92},{""src"":""Sort-Range-Scatter-Bound.png"",""x"":555,""y"":2},{""src"":""Sort-Range-Scatter-Line.png"",""x"":322,""y"":105},{""src"":""Sort-Range-Scatter-Line.png"",""x"":294,""y"":89},{""src"":""Sort-Range-Scatter-Line.png"",""x"":321,""y"":105},{""src"":""Sort-Range-Scatter-Line.png"",""x"":332,""y"":4}]","[{""src"":""Sort-Range-Scatter-Bound.png"",""x"":555,""y"":2},{""src"":""Sort-Range-Scatter-Line.png"",""x"":332,""y"":4},{""src"":""Sort-Range-Scatter-Color.png"",""x"":803,""y"":30},{""src"":""Sort-Range-Scatter-Opacity.png"",""x"":47,""y"":5},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":1084,""y"":19}]","31862","free-sort","2","287079","0.0-2.0","1603","1","2024-08-12 16:18:08","53de92ef0cbff06093468afbaa2d6dc6","24.168.83.219","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","54192","html-button-response","3","341281","0.0-3.0","1603","1","2024-08-12 16:18:08","53de92ef0cbff06093468afbaa2d6dc6","24.168.83.219","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
