"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":232,""y"":7},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":159,""y"":40},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":867,""y"":46},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":135,""y"":6},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":938,""y"":13}]","[{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":192,""y"":-12},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":864,""y"":24},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":864,""y"":24},{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":241,""y"":90},{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":566,""y"":40},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":319,""y"":54},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":65,""y"":-2},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":197,""y"":33},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":231,""y"":-10},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":368,""y"":1},{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":583,""y"":21},{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":678,""y"":32},{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":713,""y"":31}]","[{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":713,""y"":31},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":231,""y"":-10},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":864,""y"":24},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":65,""y"":-2},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":368,""y"":1}]","99168","free-sort","0","99170","0.0-0.0","1800","1","2024-08-12 16:20:13","53de92ef0cbff06093468afbaa2d6dc6","71.244.210.230","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0","","Firefox","129.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","",""
"[{""src"":""Sort-Trend-Line-Color.png"",""x"":724,""y"":3},{""src"":""Sort-Trend-Line-Line.png"",""x"":880,""y"":23},{""src"":""Sort-Trend-Line-Mark.png"",""x"":471,""y"":9},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":1213,""y"":19},{""src"":""Sort-Trend-Line-Text.png"",""x"":974,""y"":6},{""src"":""Sort-Trend-Line-Bound.png"",""x"":1039,""y"":19},{""src"":""Sort-Trend-Line-Shade.png"",""x"":361,""y"":12}]","[{""src"":""Sort-Trend-Line-Shade.png"",""x"":190,""y"":3},{""src"":""Sort-Trend-Line-Mark.png"",""x"":361,""y"":-9},{""src"":""Sort-Trend-Line-Line.png"",""x"":1069,""y"":44},{""src"":""Sort-Trend-Line-Color.png"",""x"":900,""y"":16},{""src"":""Sort-Trend-Line-Shade.png"",""x"":943,""y"":-12},{""src"":""Sort-Trend-Line-Mark.png"",""x"":1063,""y"":36}]","[{""src"":""Sort-Trend-Line-Color.png"",""x"":900,""y"":16},{""src"":""Sort-Trend-Line-Line.png"",""x"":1069,""y"":44},{""src"":""Sort-Trend-Line-Mark.png"",""x"":1063,""y"":36},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":1213,""y"":19},{""src"":""Sort-Trend-Line-Text.png"",""x"":974,""y"":6},{""src"":""Sort-Trend-Line-Bound.png"",""x"":1039,""y"":19},{""src"":""Sort-Trend-Line-Shade.png"",""x"":943,""y"":-12}]","31500","free-sort","1","130673","0.0-1.0","1800","1","2024-08-12 16:20:13","53de92ef0cbff06093468afbaa2d6dc6","71.244.210.230","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0","","Firefox","129.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","",""
"[{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":467,""y"":15},{""src"":""Sort-Filter-Scatter-Color.png"",""x"":1044,""y"":20},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":414,""y"":33},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":1105,""y"":11},{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":1079,""y"":24}]","[{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":74,""y"":33},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":891,""y"":12},{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":636,""y"":19}]","[{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":636,""y"":19},{""src"":""Sort-Filter-Scatter-Color.png"",""x"":1044,""y"":20},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":891,""y"":12},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":1105,""y"":11},{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":74,""y"":33}]","18994","free-sort","2","149668","0.0-2.0","1800","1","2024-08-12 16:20:13","53de92ef0cbff06093468afbaa2d6dc6","71.244.210.230","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0","","Firefox","129.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","",""
"","","","20351","html-button-response","3","170020","0.0-3.0","1800","1","2024-08-12 16:20:13","53de92ef0cbff06093468afbaa2d6dc6","71.244.210.230","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0","","Firefox","129.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
