"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Range-Bar-Bound.png"",""x"":843,""y"":27},{""src"":""Sort-Range-Bar-Line.png"",""x"":1169,""y"":15},{""src"":""Sort-Range-Bar-Color.png"",""x"":399,""y"":24},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":51,""y"":19},{""src"":""Sort-Range-Bar-Shade.png"",""x"":370,""y"":6}]","[{""src"":""Sort-Range-Bar-Shade.png"",""x"":617,""y"":39},{""src"":""Sort-Range-Bar-Line.png"",""x"":1035,""y"":36},{""src"":""Sort-Range-Bar-Color.png"",""x"":1182,""y"":45},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":232,""y"":105},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":397,""y"":64},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":511,""y"":44}]","[{""src"":""Sort-Range-Bar-Bound.png"",""x"":843,""y"":27},{""src"":""Sort-Range-Bar-Line.png"",""x"":1035,""y"":36},{""src"":""Sort-Range-Bar-Color.png"",""x"":1182,""y"":45},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":511,""y"":44},{""src"":""Sort-Range-Bar-Shade.png"",""x"":617,""y"":39}]","30461","free-sort","0","30467","0.0-0.0","2152","1","2024-08-12 16:23:37","53de92ef0cbff06093468afbaa2d6dc6","99.131.48.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Compare-Line-Color.png"",""x"":628,""y"":47},{""src"":""Sort-Compare-Line-Mark.png"",""x"":665,""y"":8},{""src"":""Sort-Compare-Line-Opacity.png"",""x"":853,""y"":38},{""src"":""Sort-Compare-Line-Text.png"",""x"":1183,""y"":35}]","[{""src"":""Sort-Compare-Line-Mark.png"",""x"":411,""y"":40},{""src"":""Sort-Compare-Line-Text.png"",""x"":1107,""y"":89},{""src"":""Sort-Compare-Line-Text.png"",""x"":1107,""y"":82},{""src"":""Sort-Compare-Line-Opacity.png"",""x"":302,""y"":53},{""src"":""Sort-Compare-Line-Text.png"",""x"":1061,""y"":85},{""src"":""Sort-Compare-Line-Color.png"",""x"":789,""y"":98},{""src"":""Sort-Compare-Line-Mark.png"",""x"":534,""y"":108},{""src"":""Sort-Compare-Line-Mark.png"",""x"":537,""y"":91}]","[{""src"":""Sort-Compare-Line-Color.png"",""x"":789,""y"":98},{""src"":""Sort-Compare-Line-Mark.png"",""x"":537,""y"":91},{""src"":""Sort-Compare-Line-Opacity.png"",""x"":302,""y"":53},{""src"":""Sort-Compare-Line-Text.png"",""x"":1061,""y"":85}]","44324","free-sort","1","74794","0.0-1.0","2152","1","2024-08-12 16:23:37","53de92ef0cbff06093468afbaa2d6dc6","99.131.48.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":857,""y"":7},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":306,""y"":12},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":94,""y"":12},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":783,""y"":6},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":5,""y"":5}]","[{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":537,""y"":-13},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1156,""y"":36},{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":918,""y"":85},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":210,""y"":31},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":749,""y"":11},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":515,""y"":13},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":94,""y"":105},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":455,""y"":88},{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":680,""y"":104},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":882,""y"":90},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":911,""y"":74},{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":676,""y"":55},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":471,""y"":81}]","[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":676,""y"":55},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":911,""y"":74},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1156,""y"":36},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":94,""y"":105},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":471,""y"":81}]","26228","free-sort","2","101024","0.0-2.0","2152","1","2024-08-12 16:23:37","53de92ef0cbff06093468afbaa2d6dc6","99.131.48.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","89592","html-button-response","3","190619","0.0-3.0","2152","1","2024-08-12 16:23:37","53de92ef0cbff06093468afbaa2d6dc6","99.131.48.114","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
