"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language"
"[{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":123,""y"":28},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":907,""y"":14},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":198,""y"":7},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":858,""y"":12},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":514,""y"":14}]","[{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":520,""y"":25},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":619,""y"":115},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":595,""y"":57},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":649,""y"":34},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":681,""y"":21},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":729,""y"":30},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":405,""y"":20},{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":63,""y"":14},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":417,""y"":20},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":1084,""y"":46},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":141,""y"":14},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":431,""y"":17},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":944,""y"":39},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":671,""y"":24}]","[{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":63,""y"":13},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":943,""y"":39},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":671,""y"":24},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":140,""y"":14},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":1084,""y"":46}]","31782","free-sort","0","31806","0.0-0.0","2446","1","2024-08-12 16:31:08","53de92ef0cbff06093468afbaa2d6dc6","74.101.36.104","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","Macintosh","Chrome","127.0.0.0","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9"
"[{""src"":""Sort-Filter-Line-Bound.png"",""x"":482,""y"":40},{""src"":""Sort-Filter-Line-Color.png"",""x"":1081,""y"":32},{""src"":""Sort-Filter-Line-Line.png"",""x"":1125,""y"":22},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":519,""y"":4},{""src"":""Sort-Filter-Line-Shade.png"",""x"":1229,""y"":0}]","[{""src"":""Sort-Filter-Line-Line.png"",""x"":164,""y"":41},{""src"":""Sort-Filter-Line-Color.png"",""x"":217,""y"":31},{""src"":""Sort-Filter-Line-Shade.png"",""x"":270,""y"":42},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":1131,""y"":29},{""src"":""Sort-Filter-Line-Bound.png"",""x"":200,""y"":42}]","[{""src"":""Sort-Filter-Line-Bound.png"",""x"":199,""y"":41},{""src"":""Sort-Filter-Line-Color.png"",""x"":216,""y"":31},{""src"":""Sort-Filter-Line-Line.png"",""x"":163,""y"":41},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":1130,""y"":28},{""src"":""Sort-Filter-Line-Shade.png"",""x"":270,""y"":41}]","17338","free-sort","1","49146","0.0-1.0","2446","1","2024-08-12 16:31:08","53de92ef0cbff06093468afbaa2d6dc6","74.101.36.104","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","Macintosh","Chrome","127.0.0.0","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9"
"[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":878,""y"":5},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":410,""y"":4},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":374,""y"":23},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":939,""y"":17},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1039,""y"":13}]","[{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":667,""y"":36},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1014,""y"":9},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":693,""y"":-16},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":942,""y"":17},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1085,""y"":12},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":86,""y"":16},{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":1043,""y"":5},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1042,""y"":25},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":629,""y"":-12}]","[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":1042,""y"":4},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":628,""y"":-11},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1041,""y"":24},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":86,""y"":16},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1085,""y"":11}]","16615","free-sort","2","65762","0.0-2.0","2446","1","2024-08-12 16:31:08","53de92ef0cbff06093468afbaa2d6dc6","74.101.36.104","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","Macintosh","Chrome","127.0.0.0","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9"
