"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Compare-Bar-Color.png"",""x"":62,""y"":19},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":338,""y"":28},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":473,""y"":37},{""src"":""Sort-Compare-Bar-Text.png"",""x"":695,""y"":7}]","[{""src"":""Sort-Compare-Bar-Text.png"",""x"":695,""y"":7},{""src"":""Sort-Compare-Bar-Text.png"",""x"":695,""y"":7},{""src"":""Sort-Compare-Bar-Text.png"",""x"":699,""y"":4},{""src"":""Sort-Compare-Bar-Color.png"",""x"":62,""y"":19},{""src"":""Sort-Compare-Bar-Color.png"",""x"":62,""y"":19},{""src"":""Sort-Compare-Bar-Color.png"",""x"":-1,""y"":115},{""src"":""Sort-Compare-Bar-Color.png"",""x"":70,""y"":33},{""src"":""Sort-Compare-Bar-Color.png"",""x"":92,""y"":60},{""src"":""Sort-Compare-Bar-Color.png"",""x"":92,""y"":60},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":584,""y"":18},{""src"":""Sort-Compare-Bar-Text.png"",""x"":907,""y"":14}]","[{""src"":""Sort-Compare-Bar-Color.png"",""x"":92,""y"":60},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":338,""y"":28},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":584,""y"":17},{""src"":""Sort-Compare-Bar-Text.png"",""x"":907,""y"":14}]","109171","free-sort","0","109176","0.0-0.0","1493","1","2024-08-12 16:16:41","53de92ef0cbff06093468afbaa2d6dc6","72.179.15.101","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Filter-Line-Bound.png"",""x"":79,""y"":13},{""src"":""Sort-Filter-Line-Color.png"",""x"":697,""y"":36},{""src"":""Sort-Filter-Line-Line.png"",""x"":644,""y"":38},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":125,""y"":48},{""src"":""Sort-Filter-Line-Shade.png"",""x"":208,""y"":11}]","[{""src"":""Sort-Filter-Line-Shade.png"",""x"":374,""y"":44},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":190,""y"":115},{""src"":""Sort-Filter-Line-Line.png"",""x"":542,""y"":115},{""src"":""Sort-Filter-Line-Shade.png"",""x"":1158,""y"":115},{""src"":""Sort-Filter-Line-Shade.png"",""x"":1157,""y"":115},{""src"":""Sort-Filter-Line-Shade.png"",""x"":1171,""y"":110},{""src"":""Sort-Filter-Line-Line.png"",""x"":964,""y"":115},{""src"":""Sort-Filter-Line-Bound.png"",""x"":394,""y"":115},{""src"":""Sort-Filter-Line-Shade.png"",""x"":91,""y"":-15},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":1177,""y"":115},{""src"":""Sort-Filter-Line-Bound.png"",""x"":369,""y"":112},{""src"":""Sort-Filter-Line-Bound.png"",""x"":369,""y"":112},{""src"":""Sort-Filter-Line-Shade.png"",""x"":687,""y"":39},{""src"":""Sort-Filter-Line-Bound.png"",""x"":126,""y"":27},{""src"":""Sort-Filter-Line-Line.png"",""x"":1158,""y"":31},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":1024,""y"":30}]","[{""src"":""Sort-Filter-Line-Bound.png"",""x"":126,""y"":26},{""src"":""Sort-Filter-Line-Color.png"",""x"":697,""y"":36},{""src"":""Sort-Filter-Line-Line.png"",""x"":1157,""y"":31},{""src"":""Sort-Filter-Line-Opacity.png"",""x"":1024,""y"":30},{""src"":""Sort-Filter-Line-Shade.png"",""x"":687,""y"":38}]","127074","free-sort","1","236253","0.0-1.0","1493","1","2024-08-12 16:16:41","53de92ef0cbff06093468afbaa2d6dc6","72.179.15.101","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":378,""y"":15},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":1157,""y"":10},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":229,""y"":16},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":415,""y"":25},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1134,""y"":3}]","[{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1202,""y"":45},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":691,""y"":9},{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":1095,""y"":-11},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":108,""y"":5},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":906,""y"":0},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1133,""y"":22},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":132,""y"":10}]","[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":1095,""y"":-11},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":107,""y"":4},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":131,""y"":9},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":691,""y"":8},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":1133,""y"":21}]","54888","free-sort","2","291143","0.0-2.0","1493","1","2024-08-12 16:16:41","53de92ef0cbff06093468afbaa2d6dc6","72.179.15.101","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","5097","html-button-response","3","296242","0.0-3.0","1493","1","2024-08-12 16:16:41","53de92ef0cbff06093468afbaa2d6dc6","72.179.15.101","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
