"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Trend-Bar-Color.png"",""x"":652,""y"":13},{""src"":""Sort-Trend-Bar-Line.png"",""x"":1042,""y"":39},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":492,""y"":27},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":143,""y"":3},{""src"":""Sort-Trend-Bar-Text.png"",""x"":133,""y"":30},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":874,""y"":16},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":555,""y"":11}]","[{""src"":""Sort-Trend-Bar-Shade.png"",""x"":485,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":310,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":311,""y"":107},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":315,""y"":31},{""src"":""Sort-Trend-Bar-Color.png"",""x"":40,""y"":-6},{""src"":""Sort-Trend-Bar-Text.png"",""x"":692,""y"":32},{""src"":""Sort-Trend-Bar-Line.png"",""x"":233,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":1114,""y"":22},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":949,""y"":16},{""src"":""Sort-Trend-Bar-Line.png"",""x"":83,""y"":85},{""src"":""Sort-Trend-Bar-Line.png"",""x"":82,""y"":39},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":274,""y"":76},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":279,""y"":51},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":282,""y"":26},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":455,""y"":18},{""src"":""Sort-Trend-Bar-Text.png"",""x"":640,""y"":12},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":799,""y"":-6}]","[{""src"":""Sort-Trend-Bar-Color.png"",""x"":1114,""y"":22},{""src"":""Sort-Trend-Bar-Line.png"",""x"":82,""y"":39},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":455,""y"":18},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":949,""y"":16},{""src"":""Sort-Trend-Bar-Text.png"",""x"":640,""y"":12},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":799,""y"":-6},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":282,""y"":26}]","46219","free-sort","0","46226","0.0-0.0","2271","1","2024-08-12 16:25:03","53de92ef0cbff06093468afbaa2d6dc6","67.188.176.106","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","",""
"[{""src"":""Sort-Trend-Line-Color.png"",""x"":881,""y"":21},{""src"":""Sort-Trend-Line-Line.png"",""x"":461,""y"":20},{""src"":""Sort-Trend-Line-Mark.png"",""x"":1100,""y"":10},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":263,""y"":9},{""src"":""Sort-Trend-Line-Text.png"",""x"":568,""y"":28},{""src"":""Sort-Trend-Line-Bound.png"",""x"":912,""y"":2},{""src"":""Sort-Trend-Line-Shade.png"",""x"":235,""y"":8}]","[{""src"":""Sort-Trend-Line-Shade.png"",""x"":1127,""y"":-56},{""src"":""Sort-Trend-Line-Mark.png"",""x"":239,""y"":20},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":49,""y"":9},{""src"":""Sort-Trend-Line-Text.png"",""x"":415,""y"":13},{""src"":""Sort-Trend-Line-Line.png"",""x"":595,""y"":3},{""src"":""Sort-Trend-Line-Bound.png"",""x"":541,""y"":5},{""src"":""Sort-Trend-Line-Line.png"",""x"":756,""y"":-6},{""src"":""Sort-Trend-Line-Color.png"",""x"":954,""y"":-12},{""src"":""Sort-Trend-Line-Shade.png"",""x"":1118,""y"":-25},{""src"":""Sort-Trend-Line-Shade.png"",""x"":892,""y"":-20},{""src"":""Sort-Trend-Line-Color.png"",""x"":1197,""y"":-11},{""src"":""Sort-Trend-Line-Color.png"",""x"":1108,""y"":-6},{""src"":""Sort-Trend-Line-Shade.png"",""x"":928,""y"":-15},{""src"":""Sort-Trend-Line-Shade.png"",""x"":932,""y"":1}]","[{""src"":""Sort-Trend-Line-Color.png"",""x"":1108,""y"":-6},{""src"":""Sort-Trend-Line-Line.png"",""x"":756,""y"":-6},{""src"":""Sort-Trend-Line-Mark.png"",""x"":239,""y"":20},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":49,""y"":9},{""src"":""Sort-Trend-Line-Text.png"",""x"":415,""y"":13},{""src"":""Sort-Trend-Line-Bound.png"",""x"":541,""y"":5},{""src"":""Sort-Trend-Line-Shade.png"",""x"":932,""y"":1}]","24581","free-sort","1","70813","0.0-1.0","2271","1","2024-08-12 16:25:03","53de92ef0cbff06093468afbaa2d6dc6","67.188.176.106","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","",""
"[{""src"":""Sort-Range-Scatter-Bound.png"",""x"":837,""y"":16},{""src"":""Sort-Range-Scatter-Line.png"",""x"":138,""y"":25},{""src"":""Sort-Range-Scatter-Color.png"",""x"":1120,""y"":6},{""src"":""Sort-Range-Scatter-Opacity.png"",""x"":379,""y"":12},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":375,""y"":6}]","[{""src"":""Sort-Range-Scatter-Bound.png"",""x"":580,""y"":-1},{""src"":""Sort-Range-Scatter-Line.png"",""x"":857,""y"":0},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":138,""y"":-2},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":137,""y"":20}]","[{""src"":""Sort-Range-Scatter-Bound.png"",""x"":580,""y"":-1},{""src"":""Sort-Range-Scatter-Line.png"",""x"":857,""y"":0},{""src"":""Sort-Range-Scatter-Color.png"",""x"":1120,""y"":6},{""src"":""Sort-Range-Scatter-Opacity.png"",""x"":379,""y"":12},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":137,""y"":20}]","11110","free-sort","2","81927","0.0-2.0","2271","1","2024-08-12 16:25:03","53de92ef0cbff06093468afbaa2d6dc6","67.188.176.106","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","",""
"","","","3692","html-button-response","3","85626","0.0-3.0","2271","1","2024-08-12 16:25:03","53de92ef0cbff06093468afbaa2d6dc6","67.188.176.106","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
