"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Trend-Bar-Color.png"",""x"":577,""y"":24},{""src"":""Sort-Trend-Bar-Line.png"",""x"":341,""y"":44},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":91,""y"":40},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":1196,""y"":36},{""src"":""Sort-Trend-Bar-Text.png"",""x"":266,""y"":3},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":340,""y"":48},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":397,""y"":45}]","[{""src"":""Sort-Trend-Bar-Color.png"",""x"":656,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":655,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":629,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":953,""y"":115},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":535,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":395,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":686,""y"":115},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":694,""y"":115},{""src"":""Sort-Trend-Bar-Line.png"",""x"":745,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":722,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":159,""y"":115},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":838,""y"":115},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":1071,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":375,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":902,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":1246,""y"":115},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":156,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":1090,""y"":115},{""src"":""Sort-Trend-Bar-Line.png"",""x"":207,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":159,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":94,""y"":20},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":660,""y"":49},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":642,""y"":8},{""src"":""Sort-Trend-Bar-Line.png"",""x"":628,""y"":35},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":626,""y"":28},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":603,""y"":29},{""src"":""Sort-Trend-Bar-Text.png"",""x"":644,""y"":23},{""src"":""Sort-Trend-Bar-Color.png"",""x"":653,""y"":29}]","[{""src"":""Sort-Trend-Bar-Color.png"",""x"":653,""y"":29},{""src"":""Sort-Trend-Bar-Line.png"",""x"":628,""y"":35},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":660,""y"":49},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":642,""y"":8},{""src"":""Sort-Trend-Bar-Text.png"",""x"":644,""y"":23},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":603,""y"":29},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":626,""y"":28}]","64059","free-sort","0","64069","0.0-0.0","1477","1","2024-08-12 16:16:32","53de92ef0cbff06093468afbaa2d6dc6","172.251.50.81","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0","WebKit","Edge","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Trend-Line-Color.png"",""x"":771,""y"":27},{""src"":""Sort-Trend-Line-Line.png"",""x"":498,""y"":12},{""src"":""Sort-Trend-Line-Mark.png"",""x"":591,""y"":19},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":10,""y"":3},{""src"":""Sort-Trend-Line-Text.png"",""x"":1108,""y"":14},{""src"":""Sort-Trend-Line-Bound.png"",""x"":1007,""y"":12},{""src"":""Sort-Trend-Line-Shade.png"",""x"":972,""y"":3}]","[{""src"":""Sort-Trend-Line-Opacity.png"",""x"":113,""y"":70},{""src"":""Sort-Trend-Line-Shade.png"",""x"":1177,""y"":13},{""src"":""Sort-Trend-Line-Bound.png"",""x"":995,""y"":85},{""src"":""Sort-Trend-Line-Text.png"",""x"":1120,""y"":37},{""src"":""Sort-Trend-Line-Bound.png"",""x"":1113,""y"":54},{""src"":""Sort-Trend-Line-Color.png"",""x"":1046,""y"":54},{""src"":""Sort-Trend-Line-Mark.png"",""x"":100,""y"":69},{""src"":""Sort-Trend-Line-Line.png"",""x"":651,""y"":80}]","[{""src"":""Sort-Trend-Line-Color.png"",""x"":1046,""y"":54},{""src"":""Sort-Trend-Line-Line.png"",""x"":651,""y"":80},{""src"":""Sort-Trend-Line-Mark.png"",""x"":100,""y"":69},{""src"":""Sort-Trend-Line-Opacity.png"",""x"":113,""y"":70},{""src"":""Sort-Trend-Line-Text.png"",""x"":1120,""y"":37},{""src"":""Sort-Trend-Line-Bound.png"",""x"":1113,""y"":54},{""src"":""Sort-Trend-Line-Shade.png"",""x"":1177,""y"":13}]","35542","free-sort","1","99614","0.0-1.0","1477","1","2024-08-12 16:16:32","53de92ef0cbff06093468afbaa2d6dc6","172.251.50.81","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0","WebKit","Edge","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Compare-Scatter-Color.png"",""x"":713,""y"":6},{""src"":""Sort-Compare-Scatter-Mark.png"",""x"":999,""y"":32},{""src"":""Sort-Compare-Scatter-Opacity.png"",""x"":100,""y"":11},{""src"":""Sort-Compare-Scatter-Text.png"",""x"":296,""y"":27}]","[{""src"":""Sort-Compare-Scatter-Opacity.png"",""x"":1154,""y"":-7},{""src"":""Sort-Compare-Scatter-Color.png"",""x"":669,""y"":17},{""src"":""Sort-Compare-Scatter-Mark.png"",""x"":693,""y"":31},{""src"":""Sort-Compare-Scatter-Text.png"",""x"":1146,""y"":77}]","[{""src"":""Sort-Compare-Scatter-Color.png"",""x"":668,""y"":17},{""src"":""Sort-Compare-Scatter-Mark.png"",""x"":692,""y"":31},{""src"":""Sort-Compare-Scatter-Opacity.png"",""x"":1154,""y"":-7},{""src"":""Sort-Compare-Scatter-Text.png"",""x"":1146,""y"":77}]","22300","free-sort","2","121916","0.0-2.0","1477","1","2024-08-12 16:16:32","53de92ef0cbff06093468afbaa2d6dc6","172.251.50.81","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0","WebKit","Edge","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","14733","html-button-response","3","136653","0.0-3.0","1477","1","2024-08-12 16:16:32","53de92ef0cbff06093468afbaa2d6dc6","172.251.50.81","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0","WebKit","Edge","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
