"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Trend-Bar-Color.png"",""x"":230,""y"":2},{""src"":""Sort-Trend-Bar-Line.png"",""x"":8,""y"":43},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":889,""y"":37},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":1205,""y"":7},{""src"":""Sort-Trend-Bar-Text.png"",""x"":897,""y"":15},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":612,""y"":18},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":381,""y"":19}]","[{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":383,""y"":115},{""src"":""Sort-Trend-Bar-Line.png"",""x"":1166,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":531,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":77,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":264,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":782,""y"":115},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":466,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":703,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":588,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":757,""y"":115},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":976,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":824,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":671,""y"":115},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":457,""y"":115},{""src"":""Sort-Trend-Bar-Line.png"",""x"":1256,""y"":115},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":1041,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":862,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":671,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":671,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":852,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":81,""y"":25},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":275,""y"":33},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":470,""y"":15},{""src"":""Sort-Trend-Bar-Text.png"",""x"":684,""y"":55},{""src"":""Sort-Trend-Bar-Text.png"",""x"":658,""y"":28},{""src"":""Sort-Trend-Bar-Color.png"",""x"":858,""y"":24},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":1015,""y"":31},{""src"":""Sort-Trend-Bar-Line.png"",""x"":1170,""y"":35}]","[{""src"":""Sort-Trend-Bar-Color.png"",""x"":858,""y"":24},{""src"":""Sort-Trend-Bar-Line.png"",""x"":1170,""y"":35},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":1015,""y"":31},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":81,""y"":25},{""src"":""Sort-Trend-Bar-Text.png"",""x"":658,""y"":28},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":470,""y"":15},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":275,""y"":33}]","84388","free-sort","0","84398","0.0-0.0","1494","1","2024-08-12 16:16:42","53de92ef0cbff06093468afbaa2d6dc6","73.1.239.52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15","Macintosh","Safari","15.4","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","",""
"[{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":283,""y"":2},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":280,""y"":9},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":73,""y"":40},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":782,""y"":3},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":657,""y"":25}]","[{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":507,""y"":10},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":840,""y"":15},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":1106,""y"":35},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":1107,""y"":115},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":900,""y"":9},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":1137,""y"":26},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":593,""y"":12},{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":745,""y"":24}]","[{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":745,""y"":24},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":1137,""y"":26},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":900,""y"":9},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":840,""y"":15},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":593,""y"":12}]","24950","free-sort","1","109352","0.0-1.0","1494","1","2024-08-12 16:16:42","53de92ef0cbff06093468afbaa2d6dc6","73.1.239.52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15","Macintosh","Safari","15.4","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","",""
"[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":1142,""y"":21},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":455,""y"":6},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1141,""y"":8},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":629,""y"":26},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":152,""y"":6}]","[{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":109,""y"":2},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":800,""y"":9},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":983,""y"":6}]","[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":1142,""y"":21},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":983,""y"":6},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1141,""y"":8},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":109,""y"":2},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":800,""y"":9}]","15356","free-sort","2","124713","0.0-2.0","1494","1","2024-08-12 16:16:42","53de92ef0cbff06093468afbaa2d6dc6","73.1.239.52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15","Macintosh","Safari","15.4","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","",""
"","","","8493","html-button-response","3","133213","0.0-3.0","1494","1","2024-08-12 16:16:42","53de92ef0cbff06093468afbaa2d6dc6","73.1.239.52","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15","Macintosh","Safari","15.4","OS X","10_15_7","https://wvbvqp7xwd.cognition.run/","en-us","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
