"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Trend-Bar-Color.png"",""x"":465,""y"":36},{""src"":""Sort-Trend-Bar-Line.png"",""x"":772,""y"":38},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":926,""y"":2},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":304,""y"":45},{""src"":""Sort-Trend-Bar-Text.png"",""x"":13,""y"":25},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":388,""y"":46},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":602,""y"":43}]","[{""src"":""Sort-Trend-Bar-Shade.png"",""x"":602,""y"":43},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":431,""y"":27},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":1002,""y"":111}]","[{""src"":""Sort-Trend-Bar-Color.png"",""x"":465,""y"":36},{""src"":""Sort-Trend-Bar-Line.png"",""x"":772,""y"":38},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":430,""y"":26},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":1002,""y"":110},{""src"":""Sort-Trend-Bar-Text.png"",""x"":13,""y"":25},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":388,""y"":46},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":602,""y"":43}]","73220","free-sort","0","73230","0.0-0.0","2098","1","2024-08-12 16:23:06","53de92ef0cbff06093468afbaa2d6dc6","96.56.61.243","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-GB,en-US;q=0.9,en;q=0.8","",""
"[{""src"":""Sort-Range-Line-Bound.png"",""x"":410,""y"":14},{""src"":""Sort-Range-Line-Line.png"",""x"":484,""y"":28},{""src"":""Sort-Range-Line-Color.png"",""x"":687,""y"":9},{""src"":""Sort-Range-Line-Opacity.png"",""x"":208,""y"":22},{""src"":""Sort-Range-Line-Shade.png"",""x"":1215,""y"":27}]","[{""src"":""Sort-Range-Line-Line.png"",""x"":748,""y"":66},{""src"":""Sort-Range-Line-Opacity.png"",""x"":853,""y"":105},{""src"":""Sort-Range-Line-Opacity.png"",""x"":940,""y"":57},{""src"":""Sort-Range-Line-Opacity.png"",""x"":992,""y"":68},{""src"":""Sort-Range-Line-Line.png"",""x"":828,""y"":54},{""src"":""Sort-Range-Line-Bound.png"",""x"":493,""y"":44},{""src"":""Sort-Range-Line-Bound.png"",""x"":495,""y"":58},{""src"":""Sort-Range-Line-Bound.png"",""x"":502,""y"":36}]","[{""src"":""Sort-Range-Line-Bound.png"",""x"":502,""y"":36},{""src"":""Sort-Range-Line-Line.png"",""x"":828,""y"":54},{""src"":""Sort-Range-Line-Color.png"",""x"":687,""y"":9},{""src"":""Sort-Range-Line-Opacity.png"",""x"":992,""y"":68},{""src"":""Sort-Range-Line-Shade.png"",""x"":1215,""y"":27}]","24572","free-sort","1","97804","0.0-1.0","2098","1","2024-08-12 16:23:06","53de92ef0cbff06093468afbaa2d6dc6","96.56.61.243","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-GB,en-US;q=0.9,en;q=0.8","",""
"[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":675,""y"":12},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":281,""y"":12},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1094,""y"":20},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":144,""y"":26},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":262,""y"":28}]","[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":841,""y"":22},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":575,""y"":29},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":77,""y"":20},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":383,""y"":22},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":614,""y"":31}]","[{""src"":""Sort-RetrieveValue-Scatter-Color.png"",""x"":840,""y"":21},{""src"":""Sort-RetrieveValue-Scatter-Line.png"",""x"":383,""y"":21},{""src"":""Sort-RetrieveValue-Scatter-Mark.png"",""x"":1094,""y"":20},{""src"":""Sort-RetrieveValue-Scatter-Opacity.png"",""x"":76,""y"":20},{""src"":""Sort-RetrieveValue-Scatter-Text.png"",""x"":614,""y"":31}]","10831","free-sort","2","108636","0.0-2.0","2098","1","2024-08-12 16:23:06","53de92ef0cbff06093468afbaa2d6dc6","96.56.61.243","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-GB,en-US;q=0.9,en;q=0.8","",""
"","","","45375","html-button-response","3","154013","0.0-3.0","2098","1","2024-08-12 16:23:06","53de92ef0cbff06093468afbaa2d6dc6","96.56.61.243","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-GB,en-US;q=0.9,en;q=0.8","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
