"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":651,""y"":11},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":498,""y"":35},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":1201,""y"":5},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":696,""y"":26},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":636,""y"":20}]","[]","[{""src"":""Sort-RetrieveValue-Bar-Color.png"",""x"":651,""y"":11},{""src"":""Sort-RetrieveValue-Bar-Line.png"",""x"":498,""y"":35},{""src"":""Sort-RetrieveValue-Bar-Mark.png"",""x"":1201,""y"":5},{""src"":""Sort-RetrieveValue-Bar-Opacity.png"",""x"":696,""y"":26},{""src"":""Sort-RetrieveValue-Bar-Text.png"",""x"":636,""y"":20}]","27848","free-sort","0","27854","0.0-0.0","1408","1","2024-08-12 16:15:29","53de92ef0cbff06093468afbaa2d6dc6","73.191.119.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9,ko;q=0.8,und;q=0.7,es;q=0.6","",""
"[{""src"":""Sort-Compare-Line-Color.png"",""x"":463,""y"":10},{""src"":""Sort-Compare-Line-Mark.png"",""x"":706,""y"":29},{""src"":""Sort-Compare-Line-Opacity.png"",""x"":626,""y"":19},{""src"":""Sort-Compare-Line-Text.png"",""x"":665,""y"":7}]","[{""src"":""Sort-Compare-Line-Opacity.png"",""x"":903,""y"":115},{""src"":""Sort-Compare-Line-Opacity.png"",""x"":1051,""y"":115},{""src"":""Sort-Compare-Line-Text.png"",""x"":197,""y"":115},{""src"":""Sort-Compare-Line-Color.png"",""x"":1063,""y"":115},{""src"":""Sort-Compare-Line-Mark.png"",""x"":188,""y"":115},{""src"":""Sort-Compare-Line-Text.png"",""x"":249,""y"":115},{""src"":""Sort-Compare-Line-Text.png"",""x"":686,""y"":115},{""src"":""Sort-Compare-Line-Text.png"",""x"":606,""y"":115},{""src"":""Sort-Compare-Line-Mark.png"",""x"":397,""y"":115},{""src"":""Sort-Compare-Line-Text.png"",""x"":606,""y"":115},{""src"":""Sort-Compare-Line-Text.png"",""x"":578,""y"":49},{""src"":""Sort-Compare-Line-Mark.png"",""x"":99,""y"":39},{""src"":""Sort-Compare-Line-Text.png"",""x"":585,""y"":27},{""src"":""Sort-Compare-Line-Opacity.png"",""x"":1088,""y"":48},{""src"":""Sort-Compare-Line-Color.png"",""x"":941,""y"":36}]","[{""src"":""Sort-Compare-Line-Color.png"",""x"":941,""y"":36},{""src"":""Sort-Compare-Line-Mark.png"",""x"":99,""y"":39},{""src"":""Sort-Compare-Line-Opacity.png"",""x"":1088,""y"":48},{""src"":""Sort-Compare-Line-Text.png"",""x"":585,""y"":27}]","37560","free-sort","1","65416","0.0-1.0","1408","1","2024-08-12 16:15:29","53de92ef0cbff06093468afbaa2d6dc6","73.191.119.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9,ko;q=0.8,und;q=0.7,es;q=0.6","",""
"[{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":723,""y"":28},{""src"":""Sort-Filter-Scatter-Color.png"",""x"":506,""y"":4},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":162,""y"":0},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":704,""y"":14},{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":420,""y"":19}]","[{""src"":""Sort-Filter-Scatter-Color.png"",""x"":1109,""y"":19},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":73,""y"":37},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":639,""y"":7},{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":151,""y"":31},{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":1067,""y"":20}]","[{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":1067,""y"":20},{""src"":""Sort-Filter-Scatter-Color.png"",""x"":1109,""y"":19},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":639,""y"":7},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":73,""y"":37},{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":151,""y"":31}]","13758","free-sort","2","79175","0.0-2.0","1408","1","2024-08-12 16:15:29","53de92ef0cbff06093468afbaa2d6dc6","73.191.119.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9,ko;q=0.8,und;q=0.7,es;q=0.6","",""
"","","","11778","html-button-response","3","90956","0.0-3.0","1408","1","2024-08-12 16:15:29","53de92ef0cbff06093468afbaa2d6dc6","73.191.119.28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9,ko;q=0.8,und;q=0.7,es;q=0.6","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
