"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","platform","platform_version","referer","accept_language","rt","response","success"
"2560","1170","true","Chrome","127.0.0.0","false","Windows 10","true","60.62","true","true","browser-check","0","10520","0.0-0.0","4793","1","2024-08-12 17:32:18","b0e02d76891de4098917a4775b26ae70","73.44.4.93","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","","",""
"","","","Chrome","127.0.0.0","","","","","","","survey-text","1","35660","0.0-1.0","4793","1","2024-08-12 17:32:18","b0e02d76891de4098917a4775b26ae70","73.44.4.93","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","25129","{""Q0"":""664050854b928e5094b3c4e1""}",""
"","","","Chrome","127.0.0.0","","","","","","","fullscreen","2","40857","0.0-2.0","4793","1","2024-08-12 17:32:18","b0e02d76891de4098917a4775b26ae70","73.44.4.93","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","4192","","true"
