"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Compare-Bar-Color.png"",""x"":34,""y"":39},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":64,""y"":46},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":864,""y"":41},{""src"":""Sort-Compare-Bar-Text.png"",""x"":253,""y"":45}]","[{""src"":""Sort-Compare-Bar-Text.png"",""x"":600,""y"":115},{""src"":""Sort-Compare-Bar-Text.png"",""x"":658,""y"":115},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":384,""y"":115},{""src"":""Sort-Compare-Bar-Color.png"",""x"":74,""y"":115},{""src"":""Sort-Compare-Bar-Text.png"",""x"":1187,""y"":115},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":1174,""y"":115},{""src"":""Sort-Compare-Bar-Text.png"",""x"":1169,""y"":115},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":627,""y"":115},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":113,""y"":115},{""src"":""Sort-Compare-Bar-Text.png"",""x"":638,""y"":115},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":534,""y"":115},{""src"":""Sort-Compare-Bar-Text.png"",""x"":1107,""y"":115},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":634,""y"":115},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":609,""y"":38},{""src"":""Sort-Compare-Bar-Text.png"",""x"":1139,""y"":115},{""src"":""Sort-Compare-Bar-Text.png"",""x"":1128,""y"":115},{""src"":""Sort-Compare-Bar-Text.png"",""x"":110,""y"":61},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":112,""y"":115},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":1144,""y"":49},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":1129,""y"":23},{""src"":""Sort-Compare-Bar-Color.png"",""x"":601,""y"":45},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":1129,""y"":23},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":1110,""y"":21},{""src"":""Sort-Compare-Bar-Text.png"",""x"":99,""y"":21},{""src"":""Sort-Compare-Bar-Text.png"",""x"":99,""y"":21},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":609,""y"":38},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":609,""y"":38}]","[{""src"":""Sort-Compare-Bar-Color.png"",""x"":601,""y"":45},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":1110,""y"":21},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":609,""y"":38},{""src"":""Sort-Compare-Bar-Text.png"",""x"":99,""y"":21}]","178586","free-sort","0","178603","0.0-0.0","1744","1","2024-08-12 16:19:38","53de92ef0cbff06093468afbaa2d6dc6","204.48.101.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":877,""y"":33},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":1199,""y"":13},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":536,""y"":10},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":592,""y"":17},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":969,""y"":46}]","[{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":60,""y"":33},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":95,""y"":47},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":106,""y"":36},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":644,""y"":38},{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":576,""y"":41},{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":647,""y"":40},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":95,""y"":45},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":358,""y"":85},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":649,""y"":34},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":262,""y"":33},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":262,""y"":33},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":262,""y"":33},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":262,""y"":33},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":872,""y"":22},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":872,""y"":22},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":872,""y"":22},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":872,""y"":22},{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":1204,""y"":17},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":662,""y"":34},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":1188,""y"":18},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":125,""y"":34}]","[{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":1204,""y"":17},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":106,""y"":36},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":1188,""y"":18},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":125,""y"":34},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":662,""y"":34}]","205565","free-sort","1","384176","0.0-1.0","1744","1","2024-08-12 16:19:38","53de92ef0cbff06093468afbaa2d6dc6","204.48.101.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Trend-Scatter-Color.png"",""x"":833,""y"":4},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":925,""y"":6},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":1212,""y"":9},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":986,""y"":5},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":1039,""y"":26},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":1182,""y"":22},{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":350,""y"":27}]","[{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":111,""y"":16},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":381,""y"":38},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":107,""y"":14},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":674,""y"":33},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":714,""y"":35},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":1169,""y"":33},{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1202,""y"":6}]","[{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1202,""y"":6},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":107,""y"":14},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":1212,""y"":9},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":1169,""y"":33},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":674,""y"":33},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":714,""y"":35},{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":111,""y"":16}]","39481","free-sort","2","423666","0.0-2.0","1744","1","2024-08-12 16:19:38","53de92ef0cbff06093468afbaa2d6dc6","204.48.101.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","9548","html-button-response","3","433227","0.0-3.0","1744","1","2024-08-12 16:19:38","53de92ef0cbff06093468afbaa2d6dc6","204.48.101.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
