"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Compare-Bar-Color.png"",""x"":677,""y"":14},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":348,""y"":3},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":196,""y"":3},{""src"":""Sort-Compare-Bar-Text.png"",""x"":965,""y"":16}]","[{""src"":""Sort-Compare-Bar-Mark.png"",""x"":159,""y"":27},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":442,""y"":31},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":386,""y"":24},{""src"":""Sort-Compare-Bar-Color.png"",""x"":1164,""y"":29},{""src"":""Sort-Compare-Bar-Text.png"",""x"":770,""y"":41},{""src"":""Sort-Compare-Bar-Color.png"",""x"":1143,""y"":33},{""src"":""Sort-Compare-Bar-Color.png"",""x"":1139,""y"":49},{""src"":""Sort-Compare-Bar-Color.png"",""x"":1142,""y"":34},{""src"":""Sort-Compare-Bar-Text.png"",""x"":667,""y"":29},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":808,""y"":15},{""src"":""Sort-Compare-Bar-Text.png"",""x"":516,""y"":44},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":873,""y"":22},{""src"":""Sort-Compare-Bar-Text.png"",""x"":501,""y"":35},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":181,""y"":34}]","[{""src"":""Sort-Compare-Bar-Color.png"",""x"":1142,""y"":34},{""src"":""Sort-Compare-Bar-Mark.png"",""x"":181,""y"":34},{""src"":""Sort-Compare-Bar-Opacity.png"",""x"":873,""y"":22},{""src"":""Sort-Compare-Bar-Text.png"",""x"":501,""y"":35}]","68071","free-sort","0","68077","0.0-0.0","1401","1","2024-08-12 16:15:20","53de92ef0cbff06093468afbaa2d6dc6","184.186.53.58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Range-Line-Bound.png"",""x"":1140,""y"":10},{""src"":""Sort-Range-Line-Line.png"",""x"":813,""y"":26},{""src"":""Sort-Range-Line-Color.png"",""x"":463,""y"":1},{""src"":""Sort-Range-Line-Opacity.png"",""x"":217,""y"":28},{""src"":""Sort-Range-Line-Shade.png"",""x"":986,""y"":10}]","[{""src"":""Sort-Range-Line-Line.png"",""x"":722,""y"":26},{""src"":""Sort-Range-Line-Bound.png"",""x"":1165,""y"":8},{""src"":""Sort-Range-Line-Shade.png"",""x"":970,""y"":12},{""src"":""Sort-Range-Line-Line.png"",""x"":55,""y"":19},{""src"":""Sort-Range-Line-Color.png"",""x"":741,""y"":-4},{""src"":""Sort-Range-Line-Opacity.png"",""x"":236,""y"":18},{""src"":""Sort-Range-Line-Line.png"",""x"":110,""y"":19},{""src"":""Sort-Range-Line-Opacity.png"",""x"":451,""y"":13},{""src"":""Sort-Range-Line-Line.png"",""x"":155,""y"":12},{""src"":""Sort-Range-Line-Color.png"",""x"":669,""y"":12}]","[{""src"":""Sort-Range-Line-Bound.png"",""x"":1165,""y"":8},{""src"":""Sort-Range-Line-Line.png"",""x"":155,""y"":12},{""src"":""Sort-Range-Line-Color.png"",""x"":669,""y"":12},{""src"":""Sort-Range-Line-Opacity.png"",""x"":451,""y"":13},{""src"":""Sort-Range-Line-Shade.png"",""x"":970,""y"":12}]","31324","free-sort","1","99402","0.0-1.0","1401","1","2024-08-12 16:15:20","53de92ef0cbff06093468afbaa2d6dc6","184.186.53.58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1192,""y"":3},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":975,""y"":21},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":1139,""y"":14},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":818,""y"":10},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":515,""y"":2},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":1198,""y"":6},{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":430,""y"":10}]","[{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":633,""y"":4},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":171,""y"":13},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":351,""y"":-2},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":835,""y"":14},{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1192,""y"":3},{""src"":""Sort-Trend-Scatter-Color.png"",""x"":986,""y"":-75},{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1151,""y"":20},{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1185,""y"":3},{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1179,""y"":12},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":987,""y"":5},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":29,""y"":27},{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":782,""y"":6},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":648,""y"":17},{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":964,""y"":2},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":748,""y"":11},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":587,""y"":0},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":407,""y"":-1},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":228,""y"":11},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":40,""y"":19},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":249,""y"":11},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":21,""y"":38},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":572,""y"":0},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":207,""y"":10},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":24,""y"":13},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":212,""y"":12},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":397,""y"":3},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":596,""y"":11},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":800,""y"":9},{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":992,""y"":7},{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1178,""y"":9}]","[{""src"":""Sort-Trend-Scatter-Color.png"",""x"":1178,""y"":9},{""src"":""Sort-Trend-Scatter-Line.png"",""x"":800,""y"":9},{""src"":""Sort-Trend-Scatter-Mark.png"",""x"":212,""y"":12},{""src"":""Sort-Trend-Scatter-Opacity.png"",""x"":596,""y"":11},{""src"":""Sort-Trend-Scatter-Text.png"",""x"":24,""y"":13},{""src"":""Sort-Trend-Scatter-Bound.png"",""x"":397,""y"":3},{""src"":""Sort-Trend-Scatter-Shade.png"",""x"":992,""y"":7}]","41001","free-sort","2","140404","0.0-2.0","1401","1","2024-08-12 16:15:20","53de92ef0cbff06093468afbaa2d6dc6","184.186.53.58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","26301","html-button-response","3","166707","0.0-3.0","1401","1","2024-08-12 16:15:20","53de92ef0cbff06093468afbaa2d6dc6","184.186.53.58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
