"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Trend-Bar-Color.png"",""x"":884,""y"":19},{""src"":""Sort-Trend-Bar-Line.png"",""x"":653,""y"":4},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":866,""y"":28},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":888,""y"":1},{""src"":""Sort-Trend-Bar-Text.png"",""x"":958,""y"":21},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":1000,""y"":22},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":1158,""y"":35}]","[{""src"":""Sort-Trend-Bar-Text.png"",""x"":363,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":343,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":279,""y"":115},{""src"":""Sort-Trend-Bar-Line.png"",""x"":182,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":462,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":665,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":668,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":718,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":1002,""y"":115},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":342,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":286,""y"":115},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":908,""y"":115},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":866,""y"":28},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":1000,""y"":22},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":1103,""y"":115},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":999,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":608,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":341,""y"":112},{""src"":""Sort-Trend-Bar-Text.png"",""x"":341,""y"":112},{""src"":""Sort-Trend-Bar-Text.png"",""x"":351,""y"":77},{""src"":""Sort-Trend-Bar-Text.png"",""x"":351,""y"":77},{""src"":""Sort-Trend-Bar-Text.png"",""x"":351,""y"":84},{""src"":""Sort-Trend-Bar-Text.png"",""x"":442,""y"":115},{""src"":""Sort-Trend-Bar-Text.png"",""x"":453,""y"":103},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":237,""y"":67},{""src"":""Sort-Trend-Bar-Line.png"",""x"":195,""y"":90},{""src"":""Sort-Trend-Bar-Text.png"",""x"":433,""y"":95},{""src"":""Sort-Trend-Bar-Color.png"",""x"":595,""y"":87},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":900,""y"":101},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":1096,""y"":115},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":1101,""y"":46},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":897,""y"":93},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":979,""y"":105},{""src"":""Sort-Trend-Bar-Color.png"",""x"":636,""y"":115},{""src"":""Sort-Trend-Bar-Color.png"",""x"":637,""y"":113}]","[{""src"":""Sort-Trend-Bar-Color.png"",""x"":637,""y"":113},{""src"":""Sort-Trend-Bar-Line.png"",""x"":195,""y"":90},{""src"":""Sort-Trend-Bar-Mark.png"",""x"":979,""y"":105},{""src"":""Sort-Trend-Bar-Opacity.png"",""x"":237,""y"":67},{""src"":""Sort-Trend-Bar-Text.png"",""x"":433,""y"":95},{""src"":""Sort-Trend-Bar-Bound.png"",""x"":1101,""y"":46},{""src"":""Sort-Trend-Bar-Shade.png"",""x"":897,""y"":93}]","332315","free-sort","0","332354","0.0-0.0","2361","1","2024-08-12 16:26:05","53de92ef0cbff06093468afbaa2d6dc6","107.180.130.51","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Range-Line-Bound.png"",""x"":1043,""y"":23},{""src"":""Sort-Range-Line-Line.png"",""x"":873,""y"":4},{""src"":""Sort-Range-Line-Color.png"",""x"":54,""y"":20},{""src"":""Sort-Range-Line-Opacity.png"",""x"":454,""y"":26},{""src"":""Sort-Range-Line-Shade.png"",""x"":510,""y"":6}]","[{""src"":""Sort-Range-Line-Bound.png"",""x"":1134,""y"":6},{""src"":""Sort-Range-Line-Line.png"",""x"":963,""y"":90},{""src"":""Sort-Range-Line-Line.png"",""x"":978,""y"":64},{""src"":""Sort-Range-Line-Shade.png"",""x"":627,""y"":42}]","[{""src"":""Sort-Range-Line-Bound.png"",""x"":1134,""y"":6},{""src"":""Sort-Range-Line-Line.png"",""x"":978,""y"":64},{""src"":""Sort-Range-Line-Color.png"",""x"":54,""y"":20},{""src"":""Sort-Range-Line-Opacity.png"",""x"":454,""y"":26},{""src"":""Sort-Range-Line-Shade.png"",""x"":627,""y"":42}]","49969","free-sort","1","382330","0.0-1.0","2361","1","2024-08-12 16:26:05","53de92ef0cbff06093468afbaa2d6dc6","107.180.130.51","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":869,""y"":24},{""src"":""Sort-Filter-Scatter-Color.png"",""x"":1187,""y"":30},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":1087,""y"":16},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":1081,""y"":23},{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":558,""y"":27}]","[{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":1155,""y"":52},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":426,""y"":115},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":107,""y"":52}]","[{""src"":""Sort-Filter-Scatter-Bound.png"",""x"":1155,""y"":52},{""src"":""Sort-Filter-Scatter-Color.png"",""x"":1187,""y"":30},{""src"":""Sort-Filter-Scatter-Line.png"",""x"":1087,""y"":16},{""src"":""Sort-Filter-Scatter-Opacity.png"",""x"":107,""y"":52},{""src"":""Sort-Filter-Scatter-Shade.png"",""x"":558,""y"":27}]","27734","free-sort","2","410071","0.0-2.0","2361","1","2024-08-12 16:26:05","53de92ef0cbff06093468afbaa2d6dc6","107.180.130.51","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","48033","html-button-response","3","458109","0.0-3.0","2361","1","2024-08-12 16:26:05","53de92ef0cbff06093468afbaa2d6dc6","107.180.130.51","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
