"init_locations","moves","final_locations","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","response"
"[{""src"":""Sort-Range-Bar-Bound.png"",""x"":726,""y"":25},{""src"":""Sort-Range-Bar-Line.png"",""x"":51,""y"":8},{""src"":""Sort-Range-Bar-Color.png"",""x"":1054,""y"":12},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":32,""y"":3},{""src"":""Sort-Range-Bar-Shade.png"",""x"":133,""y"":4}]","[{""src"":""Sort-Range-Bar-Bound.png"",""x"":697,""y"":105},{""src"":""Sort-Range-Bar-Bound.png"",""x"":679,""y"":-31},{""src"":""Sort-Range-Bar-Bound.png"",""x"":688,""y"":7},{""src"":""Sort-Range-Bar-Color.png"",""x"":1047,""y"":105},{""src"":""Sort-Range-Bar-Color.png"",""x"":1124,""y"":105},{""src"":""Sort-Range-Bar-Bound.png"",""x"":479,""y"":3},{""src"":""Sort-Range-Bar-Shade.png"",""x"":232,""y"":-18},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":208,""y"":-3},{""src"":""Sort-Range-Bar-Shade.png"",""x"":359,""y"":-2},{""src"":""Sort-Range-Bar-Shade.png"",""x"":633,""y"":-13},{""src"":""Sort-Range-Bar-Bound.png"",""x"":418,""y"":-2},{""src"":""Sort-Range-Bar-Color.png"",""x"":1135,""y"":23}]","[{""src"":""Sort-Range-Bar-Bound.png"",""x"":418,""y"":-2},{""src"":""Sort-Range-Bar-Line.png"",""x"":51,""y"":8},{""src"":""Sort-Range-Bar-Color.png"",""x"":1135,""y"":23},{""src"":""Sort-Range-Bar-Opacity.png"",""x"":208,""y"":-3},{""src"":""Sort-Range-Bar-Shade.png"",""x"":633,""y"":-13}]","80891","free-sort","0","80921","0.0-0.0","2402","1","2024-08-12 16:26:24","53de92ef0cbff06093468afbaa2d6dc6","76.98.201.209","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":231,""y"":20},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":596,""y"":29},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":662,""y"":28},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":972,""y"":11},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":996,""y"":15}]","[{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":1144,""y"":115},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":1132,""y"":9},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":849,""y"":26}]","[{""src"":""Sort-RetrieveValue-Line-Color.png"",""x"":231,""y"":20},{""src"":""Sort-RetrieveValue-Line-Line.png"",""x"":596,""y"":29},{""src"":""Sort-RetrieveValue-Line-Mark.png"",""x"":662,""y"":28},{""src"":""Sort-RetrieveValue-Line-Opacity.png"",""x"":849,""y"":26},{""src"":""Sort-RetrieveValue-Line-Text.png"",""x"":1132,""y"":9}]","19156","free-sort","1","100081","0.0-1.0","2402","1","2024-08-12 16:26:24","53de92ef0cbff06093468afbaa2d6dc6","76.98.201.209","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"[{""src"":""Sort-Range-Scatter-Bound.png"",""x"":134,""y"":17},{""src"":""Sort-Range-Scatter-Line.png"",""x"":638,""y"":26},{""src"":""Sort-Range-Scatter-Color.png"",""x"":623,""y"":5},{""src"":""Sort-Range-Scatter-Opacity.png"",""x"":70,""y"":28},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":691,""y"":11}]","[{""src"":""Sort-Range-Scatter-Shade.png"",""x"":874,""y"":4},{""src"":""Sort-Range-Scatter-Color.png"",""x"":398,""y"":5},{""src"":""Sort-Range-Scatter-Color.png"",""x"":1102,""y"":-5},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":860,""y"":6},{""src"":""Sort-Range-Scatter-Line.png"",""x"":1103,""y"":-14},{""src"":""Sort-Range-Scatter-Opacity.png"",""x"":997,""y"":2},{""src"":""Sort-Range-Scatter-Bound.png"",""x"":1133,""y"":-25}]","[{""src"":""Sort-Range-Scatter-Bound.png"",""x"":1133,""y"":-25},{""src"":""Sort-Range-Scatter-Line.png"",""x"":1103,""y"":-14},{""src"":""Sort-Range-Scatter-Color.png"",""x"":1102,""y"":-5},{""src"":""Sort-Range-Scatter-Opacity.png"",""x"":997,""y"":2},{""src"":""Sort-Range-Scatter-Shade.png"",""x"":860,""y"":6}]","19418","free-sort","2","119502","0.0-2.0","2402","1","2024-08-12 16:26:24","53de92ef0cbff06093468afbaa2d6dc6","76.98.201.209","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","",""
"","","","6459","html-button-response","3","125968","0.0-3.0","2402","1","2024-08-12 16:26:24","53de92ef0cbff06093468afbaa2d6dc6","76.98.201.209","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.9","<p> Thanks for your participation! The prolific code is <b>CVE7UWMV</b></p> Please copy and paste the code before you exit.","0"
